nid,tnid,type,title,field_heading,body,field_featured_article,field_category,field_global_taxonomy,field_headline,language,fid,filename,field_image,field_image_alt,field_image_title,field_sub_headline,user_id,author,created,field_weight,alias_path,promote,status,sticky,field_hero_agent_toggle,field_hero_contact_toggle,field_hero_contact_toggle_es,field_hero_modal_toggle,shamrock_user,landing_page_categories,admin_description
228,0,Landing Page,Turn Invoices into Same-Day Capital with Factoring,Turn Invoices into Same-Day Capital with Factoring,"<p>At RTS Financial, our accounts receivable financing solutions, also known as ""factoring,"" are designed to increase cash flow within 24 hours for international companies that sell goods to the United States and Canada.</p>

<p>Here is the accounts receivable financing process, explained in five simple steps:</p>

<p> </p>

<ul>
	<li><strong>Step 1: Generate an Invoice.</strong> Your company sells products to a company based in the U.S. or Canada. Once the title has transferred to the buyer, you generate an invoice for the sale.</li>
	<li><strong>Step 2: Sell Your Invoice to RTS Financial.</strong> Instead of waiting 30, 60 or 90 days for payment from your customer, your company sells the invoice to us.</li>
	<li><strong>Step 3: Receive Funding.</strong> RTS Financial purchases the invoice and advances between 80% and 90% of the total invoice value to your company. RTS Financial holds the balance in reserve.</li>
	<li><strong>Step 4: Customer Collection.</strong> RTS Financial collects the full balance of the invoice from your company’s customer.</li>
	<li><strong>Step 5: Completion.</strong> RTS Financial returns the reserve balance to your company, minus a fee for assuming the collections risk.</li>
</ul>

<h2>Accounts Receivable Financing Versus Traditional Bank Lending</h2>

<p class=""first"">Accounts receivable financing is not a loan. The provided capital is based on the credit of your customers, not your balance sheet. This is an excellent alternative to traditional bank lending as you gain immediate cash flow without assuming new debt. More and more exporting companies are using our services for this reason.</p>

<h2>Why You Should Choose RTS Financial:</h2>

<ul>
	<li>Innovative and creative business solutions customized to your company’s needs</li>
	<li>Multicultural service representatives fluent in 25 languages</li>
	<li>Funding provided within 24 hours</li>
	<li>A U.S.-based business partner with 25+ years of experience</li>
	<li>Highly competitive rates</li>
	<li>A dedicated representative who can assist you with all aspects of your account</li>
	<li>No hidden fees</li>
	<li>Digital invoice processing</li>
</ul>

<h3>Contact us today to learn how RTS Financial can increase your working capital and grow your business.</h3>
",,,,,English,,,,,,Stop waiting weeks for customer payments. Get cash on your receivables within 24 hours by factoring with RTS Financial.,1,admin,1463069865,,/lp/factoring-es,1,1,0,,,,,,,
238,0,Landing Page,Debtor in Possession Financing,Debtor in Possession Financing,"Factoring is among the most cost-effective, flexible forms of financing available to debtors-in-possession or companies in Chapter 11. RTS Financial’s factoring solutions allow you to maintain your cash flow, making it easier to pay employees and meet customer demands while your company reorganizes.

Unlike other forms of financing, factoring does not rely entirely on your company’s credit history. Factoring providers like RTS Financial are more concerned about your customers’ ability to pay.

<h2>Advantages of Factoring</h2>
<ul>
<li>RTS Financial's factoring solutions are customized to provide cash flow when your company needs it.</li>
<li>The financing does not show up on your balance sheet as debt.</li>
<li>Your access to funding is based more upon your customers’ credit than your own credit or business history.</li>
<li>As your work orders increase, the cash that factoring provides matches your company’s growth.</li>
<li>Factoring aligns well with the need to immediately improve your company's cash flow.</li>
<li>RTS Financial works with the bankruptcy court to ensure a smooth transition to factoring for your company.</li>
</ul>

<h2>Factoring in Five Simple Steps</h2>
<ul>
<li>You perform a service or sell a good to a customer.</li>
<li>You send your invoice to RTS Financial.</li>
<li>You receive early payment on your invoice from RTS Financial.</li>
<li>RTS Financial collects full payment from the customer.</li>
<li>RTS Financial pays you the rest of your invoice amount, minus a fee.</li>
</ul>

<h2>Highlights of Our Factoring Services</h2>

By focusing on our clients and their business needs, we have created a better factoring experience. Here is what you can expect when you work with RTS Financial:

<ul>
<li>Same-day funding</li>
<li>20 years of factoring experience</li>
<li>Highly competitive rates</li>
<li>Free collections and credit analysis</li>
<li>Online account access and easy uploading of documents</li>
<li>Scalable funding that grows with your company</li>
</ul>",,,,,English,,,,,,Working with RTS Financial improves cash flow while your company bounces back from bankruptcy protection.,1,admin,1465405151,,/lp/factoring-dip,1,0,0,,,,,Webster,,LP for DIP Finance
241,0,Landing Page,Test Landing Page,Test Landing Page,"<p>Performing contract work for the government can be lucrative for your company. However, waiting as long as four months for the government to pay for your services may put a lot of stress on your company’s cash flow.</p>
<p>One solution is RTS Financial's Early Pay program. We fund your receivables within 24 hours, allowing you to build up more cash flow, pay your employees, meet customer demands and grow your business.</p>
<h2>Advantages of Early Pay:</h2>
<ul>
<li>RTS Financial's Early Pay solutions are customized to provide cash flow when your company needs it.</li>
<li>Your access to capital is based upon the government’s credit, not your company's credit or business history.</li>
<li>As your contract work increases, the cash flow from RTS Financial matches your company’s growth.</li>
</ul>
<h2>How Early Pay Works in Four Simple Steps:</h2>
<ol>
<li>You complete a service for a government agency.</li>
<li>You send your paperwork to RTS Financial.</li>
<li>You receive early payment on your invoice from RTS Financial.</li>
<li>RTS Financial collects full payment from the government.</li>
</ol>
<h2>Benefits of Working with RTS Financial: </h2>
<p>By focusing on our clients and their business needs, we have created a better funding experience. Here is what you can expect when you work with RTS Financial:</p>
<ul>
<li>Same-day funding</li>
<li>20-plus years of industry experience</li>
<li>Highly competitive advance rates</li>
<li>Free collections and other back-office services</li>
<li>Online account access and easy uploading of documents</li>
<li>Scalable funding that grows with your company</li>
</ul>
",,,,,English,,,,,,"Instead of waiting months to get paid, turn your receivables into cash in less than 24 hours.  ",1,admin,1466005948,,/lp/test,0,0,0,,,,,,,
259,0,Landing Page,How Factoring Can Help Government Contractors Boost Their Cash Flow ,How Factoring Can Help Government Contractors Boost Their Cash Flow ,"<img style=""max-width: 320px !important; float: left; margin: 0 40px 30px 0;"" src=""http://www.rtsfinancial.com/sites/default/files/RTS%20Financial%20-%20Government%20Contractor%20PDF.png"" />

<p class=""lg-sans"">Performing contract work for government agencies can be lucrative for your company. However, waiting weeks for the government to pay for your services may put a lot of stress on your company’s cash flow and ability to expand.</p>

<p class=""lg-sans"">This free article from RTS Financial shares six key reasons why factoring might be an ideal solution for your business, particularly if you work with government entities that wait a long time to pay. Instant cash flow is just one of the advantages of factoring, which is used by companies in many industries as an effective way to grow at a faster pace.</p>

<p class=""lg-sans""><strong>To learn about the ways factoring can benefit government contractors, download RTS Financial's free white paper by completing the form on this page.</strong></p>

",,,,,English,,,,,,Download this free white paper to learn how factoring your receivables can eliminate the long wait on payments from the government. ,1,admin,1476802284,,/lp/government-factoring-guide,0,0,0,,,,,Webster,,
265,0,Landing Page,Don't Make These 5 Mistakes When Choosing A Factoring Company,Don't Make These 5 Mistakes When Choosing A Factoring Company,"<p>Factoring is a great way to build up your company's cash flow. However, some factoring companies are much more reliable than others. To find a provider that will best serve your business, you need to avoid these common factoring pitfalls:</p>

<h2>Paying Hidden Fees</h2>
<p>Make sure you understand a factoring company's fee structure. Beware of ""hidden"" fees that cover money transfers, software, collateral and other business costs. Ask if the factor charges only a flat fee, which is a percentage of your total invoice value. Be prepared to negotiate the removal of these fees if they exist.</p> 

<h2>Bad Customer Service</h2>
Make sure you can call your account representative directly when you need information. Lousy customer service is a leading reason why companies leave their factoring provider. When talking with a factoring company, ask for a dedicated, single-point-of-contact to manage and answer questions about your account. 

<h2>Limited Funding That Hampers Growth</h2>
<p>Before entering into a factoring agreement, make sure the factor has enough financial resources to continue funding your invoices as your company and receivables grow.</p> 

<h2>No Access to Aging or Reserve Reports</h2>
<p>Some factoring companies make it difficult for you to see your account information. Make sure you can access your account balance, aging and reserve reports online. This is critical information you need to run your business effectively.</p>

<h2>Being Forced to Fax Documents</h2>
<p>Many factoring companies still require their customers to provide original documents for each transaction. Look for a factoring company that allows you to easily upload invoices and other documents online.</p>",,,,,English,,,,,,,1,admin,1486137494,,/lp/factoring-mistakes,1,1,0,,,,,Webster,,
273,0,Landing Page,Stop Waiting on Payments. Get Paid Today with RTS Financial.,Stop Waiting on Payments. Get Paid Today with RTS Financial.,"<style type=""text/css"">
<!--/*--><![CDATA[/* ><!--*/
.page-node-273 .header-phone { display: none; }

/*--><!]]>*/
</style>
<p>As a carrier working with CTSI-Global, you no longer need to wait weeks or even months to receive payment on your delivered loads.</p>

<p> </p>

<p>CTSI-Global’s partnership with RTS Financial provides factoring solutions that turn your invoices into cash within 24 hours, allowing you to secure cash flow to cover expenses and expand your fleet.</p>

<h2>The RTS Financial Difference</h2>

<ul>
	<li>Same-day funding</li>
	<li>Preferred funding partner of CTSI-Global</li>
	<li>25+ years of accounts receivable financing experience</li>
	<li>Competitive, industry-leading advance rates</li>
	<li>Dedicated customer service representatives fluent in 25 languages</li>
	<li>Scalable, debt-free funding that can match your company’s growth</li>
</ul>

<h3><strong>To learn more about factoring with RTS Financial, call (855) 456-5146.</strong></h3>
",,,,,English,,,,,,RTS Financial provides factoring solutions that help trucking companies turn their invoices into cash within 24 hours of the request for payment.,1,admin,1487971415,,/lp/ctsi-lp,1,1,0,,,,,Meg Willaims,,Agent Referral page for CTSI
274,0,Landing Page,Help Your Clients Get Paid Faster with RTS Financial ,Help Your Clients Get Paid Faster with RTS Financial ,"<style>
<!--/*--><![CDATA[/* ><!--*/

.page-node-274 .header-phone { display: none; }
.page-node-274 #content-column { max-width: 1000px; }
.page-node-274 form { max-width: 700px; }
.page-node-274 textarea { width: 100%; }

/*--><!]]>*/
</style>

<p class=""lg-sans""></p>

<h2>Request Information</h2>
<p class=""lg-sans"">Complete this form and we will respond with more information.</p>

<form class=""webform"" name=""factoringForm"" enctype=""multipart/form-data"" action=""http://analytics.clickdimensions.com/forms/h/aq71PF8WgfEiyk2unJ6u2Q"" method=""post"" id=""factoringForm"">
<div class=""form-item"">
  <input type=""text"" id=""txtFirstName"" name=""txtFirstName"" />
  <span class=""bar""></span>
  <label for=""txtFirstName"">First Name</label>
</div>
<div class=""form-item"">
  <input type=""text"" id=""txtCompanyName"" name=""txtCompanyName"" />
  <span class=""bar""></span>
  <label for=""txtCompanyName"">Company</label>
</div>
<div class=""form-item"">
  <input type=""email"" class=""email"" id=""emailEmail"" name=""emailEmail"" />
  <span class=""bar""></span>
  <label for=""emailEmail"">Email</label>
</div>
<div class=""form-item"">
  <input type=""text"" id=""txtphonenumber"" name=""txtphonenumber"" />
  <span class=""bar""></span>
  <label for=""txtphonenumber"">Phone</label>
</div>
<div class=""form-item"">
  <input type=""text"" id=""txtMCNumber"" name=""txtMCNumber"" />
  <span class=""bar""></span>
  <label for=""txtMCNumber"">MC Number</label>
</div>

<label for=""txtNotes"">Add Notes</label>
<textarea class=""margin-bottom-40"" name=""txtNotes"" id=""txtNotes"" rows=""8"">
</textarea>


<input type=""hidden"" id=""selectTopicOfInterest"" name=""selectTopicOfInterest"" value=""956380000"" />
<input type=""hidden"" id=""selectInternalWebsite"" name=""selectInternalWebsite"" value=""956380000"" />
<input type=""hidden"" id=""selectLeadSource"" name=""selectLeadSource"" value=""956380001"" />
<input type=""hidden"" id=""txtAgentName"" name=""txtAgentName"" value=""ctsi"" />


<div class=""btn blue-outline"">
	<input type=""submit"" id=""sidebarFactoringForm"" name=""op"" value=""Get Started"" class=""form-submit"" />
</div>
</form>

<!-- end sidebar form container -->",,,,,English,,,,,,"Thank you for referring your CTSI-Global carrier to RTS Financial. Please fill out the form below, along with any additional information you think would be useful.",1,admin,1487973071,,/lp/ctsi-referral,1,1,0,,,,,Meg Williams,,Agent referral page for CTSI
275,0,Landing Page,How to Solve Cash Flow Problems Without a Loan,How to Solve Cash Flow Problems Without a Loan,"<p>Cash is the lifeblood of any business. Your company may be the best as what it does, customers may be lining up for your product or services. Without adequate cash flow, however, you can’t pay your employees, meet operating expenses, or fund an expansion of your business.</p> 

<p>How do you build up cash while waiting 30, 60 or even 90 days on customer payments? A bank line of credit is a possibility, but the application process can take weeks and involve a lot of paperwork.</p> 

With traditional financing, you also incur debt. A credit line might meet your short-term cash needs, but the debt it adds to your balance sheet can hurt your business later.

<h2>A Debt-Free Solution</h2>

Many companies choose to build up their cash flow by factoring their receivables. Unlike a bank loan, factoring involves no debt. The funding you receive through factoring is your money—you are just receiving it weeks earlier than you would by waiting on customer payments.  

Factoring is also scalable, meaning the amount of funding grows as your company’s receivables grow.   

<h2>How Factoring Works in Five Steps:</h2>
<ol>
<li>You complete a service or deliver a product to a customer.</li>
<li>You send the invoice to a factoring company, also known as a “factor.” The factor sends the invoice to your customer.</li>
<li>The factor advances your company 80% to 90% of the invoice value.</li>
<li>Your customer pays the factor the full value of the invoice. The factor pays you the reserve balance, minus a fee.</li>
</ol>

<h2>Other Benefits of Factoring</h2>

In addition to being debt-free, factoring is fast. Most factors advance funding on your invoices within 24 hours.  Here are some other ways factoring can benefit your business. 
<ul>
<li>Most factors provide free back-office support, including managing collections from your customers.</li>
<li>Factoring is based on the quality of your customers’ credit, not your own credit or business history.</li>
<li>Funding through factoring grows as your receivables grow.</li>
<li>Factoring can be customized and managed so that it provides necessary capital when your company needs it.</li>
</ul>

<h2>More About Factoring</h2>
To learn more about how your company can use factoring to meet today’s market demands, read this detailed article about how factoring works. ",,,,,English,,,,,,,1,admin,1487975531,,/lp/how-solve-cash-flow-problems-without-getting-loan,1,1,0,,,,,Webster,,"Landing page for generic cash flow keywords. E.g. ""How to Increase Working Capital"""
281,0,Landing Page,Get Paid Faster with RTS Financial,Get Paid Faster with RTS Financial,"<style>
<!--/*--><![CDATA[/* ><!--*/

.page-node-281 .header-phone { display: none; }
.page-node-281 #content-column { max-width: 1000px; }
.page-node-281 form { max-width: 700px; }
.page-node-281 textarea { width: 100%; }

/*--><!]]>*/
</style>

<p class=""lg-sans""></p>

<h2 class=""margin-top-0"">Request Information</h2>
<p class=""medium margin-bottom-40"">Complete this form and we will respond with more information.</p>

<form class=""webform"" name=""factoringForm"" enctype=""multipart/form-data"" action=""http://analytics.clickdimensions.com/forms/h/aq71PF8WgfEiyk2unJ6u2Q"" method=""post"" id=""agentForm"">
<div class=""form-item"">
  <input type=""text"" id=""txtFirstName"" name=""txtFirstName"" />
  <span class=""bar""></span>
  <label for=""txtFirstName"">First Name</label>
</div>
<div class=""form-item"">
  <input type=""text"" id=""txtCompanyName"" name=""txtCompanyName"" />
  <span class=""bar""></span>
  <label for=""txtCompanyName"">Company</label>
</div>
<div class=""form-item"">
  <input type=""email"" class=""email"" id=""emailEmail"" name=""emailEmail"" />
  <span class=""bar""></span>
  <label for=""emailEmail"">Email</label>
</div>
<div class=""form-item"">
  <input type=""text"" id=""txtphonenumber"" name=""txtphonenumber"" />
  <span class=""bar""></span>
  <label for=""txtphonenumber"">Phone</label>
</div>
<div class=""form-item"">
  <input type=""text"" id=""txtMCNumber"" name=""txtMCNumber"" />
  <span class=""bar""></span>
  <label for=""txtMCNumber"">MC Number</label>
</div>

<label for=""txtNotes"">Add Notes</label>
<textarea class=""margin-bottom-40"" name=""txtNotes"" id=""txtNotes"" rows=""8"">
</textarea>


<input type=""hidden"" id=""selectTopicOfInterest"" name=""selectTopicOfInterest"" value=""956380000"" />
<input type=""hidden"" id=""selectInternalWebsite"" name=""selectInternalWebsite"" value=""956380000"" />
<input type=""hidden"" id=""selectLeadSource"" name=""selectLeadSource"" value=""956380001"" />
<input type=""hidden"" id=""txtAgentName"" name=""txtAgentName"" value=""justyna"" />


<div class=""btn blue-outline"">
	<input type=""submit"" name=""op"" value=""Get Started"" class=""form-submit"" />
</div>
</form>

<!-- end sidebar form container -->",,,,,English,,,,,,,1,admin,1490022971,,/lp/justyna,1,1,0,,,,,Meg Williams,,Agent Referral Page for Justyna
282,0,Landing Page,Our Guarantee: The Best Customer Service in Factoring,Our Guarantee: The Best Customer Service in Factoring,"<p>Most clients choose RTS Financial because of our competitive factoring rates and easy approval process. They stay with RTS Financial because we put a premium on serving customers like no other factoring company in the industry.</p>

<h2>As a customer of RTS Financial, here’s what you can expect:</h2>

<ul>
	<li>Quick, thorough responses to your emails</li>
	<li>Partnering with a dedicated team of account specialists that understands your business</li>
	<li>Service representatives fluent in 25 languages</li>
</ul>

<h2>More highlights of our factoring services:</h2>

<ul>
	<li>Same-day funding</li>
	<li>Competitive advance rates</li>
	<li>Upload invoices online using our app</li>
	<li>Fuel card with credit lines and big discounts</li>
	<li>Free collections and credit analysis</li>
	<li>Scalable, debt-free funding that can match your company’s growth</li>
</ul>
",,,,,English,,,,,,"Quick responses, dedicated customer teams and more than 25 years of professional expertise make RTS Financial a superior factoring experience.",1,admin,1490996657,,/lp/customer-service-factoring,1,1,0,,,,,,,
289,0,Landing Page,The Quickest Way to Build More Cash Flow,The Quickest Way to Build More Cash Flow,"<p>As the freight market continues to rebound, you may find that increased demand from your customers is putting a strain on your trucking company’s cash flow.</p>

<p>The most effective way to build cash flow quickly is by factoring your company’s receivables. RTS Financial provides same-day funding of your invoices at competitive rates, eliminating the 30- to 60-day wait on customer payments.</p>

<h2>Welcome To A Better Factoring Experience</h2>

<p>Here are the reasons why more companies are choosing to factor their receivables with RTS Financial:</p>

<ul>
	<li><strong>Same-day funding</strong> that instantly builds cash flow</li>
	<li><strong>Outstanding customer service</strong> since 1995</li>
	<li><b>Competitive advance rates </b>on your invoices</li>
	<li><strong><strong>Easy uploading </strong></strong>of invoices to your online account</li>
	<li><strong><strong>Fuel card</strong> </strong>with credit lines and leading discounts</li>
	<li><strong><strong>Free, unlimited credit checks</strong> </strong>on brokers and shippers</li>
	<li><strong><strong>Scalable funding</strong> </strong>that grows with your company</li>
</ul>
",,,,,English,,,,,,,1,admin,1494448334,,/lp/factoring-email,1,1,0,,,,,,,
292,0,Landing Page,Outstanding Factoring Service Since 1995,Outstanding Factoring Service Since 1995,"<p>Most clients choose RTS Financial because of our competitive factoring rates and easy approval process. They stay with RTS Financial because we put a premium on serving customers like no other factoring company in the industry.</p>

<h2>As a customer of RTS Financial, here’s what you can expect:</h2>

<ul>
	<li>Quick, thorough responses to your emails</li>
	<li>Partnering with a dedicated team of account specialists that understands your business</li>
	<li>Service representatives fluent in 25 languages</li>
</ul>

<h2>More highlights of our factoring services:</h2>

<ul>
	<li>Same-day funding</li>
	<li>Industry-leading, competitive advance rates</li>
	<li>Upload invoices online using our app</li>
	<li>Fuel card with credit lines and big discounts</li>
	<li>Free collections and credit analysis</li>
	<li>Scalable, debt-free funding that can match your company’s growth</li>
</ul>

<div class=""lg-sans margin-top-40"">Contact Us Today About Factoring: <strong>888-684-2309</strong></div>
",,,,,English,,,,,,"Quick responses, dedicated customer teams and more than 25 years of professional expertise make RTS Financial a superior factoring experience.",1,admin,1497902305,,/lp/ap-retargeting,1,1,0,,,,,,,
293,0,Landing Page,Stop Waiting on Payments. Get Paid Today with Technicolor and RTS Financial.,Stop Waiting on Payments. Get Paid Today with Technicolor and RTS Financial.,"<style type=""text/css"">
<!--/*--><![CDATA[/* ><!--*/
.page-node-293 .header-phone { display: none; }

/*--><!]]>*/
</style>
<p>As a trucking company working with Technicolor, you no longer need to wait weeks for payment on freight shipments. Technicolor’s partnership with RTS Financial provides quick-pay solutions that enable you to build cash flow and expand your fleet.</p>

<h2>Why did Technicolor choose RTS Financial?</h2>

<ul>
	<li>Same-day funding available</li>
	<li>25+ years of experience providing quick-pay funding</li>
	<li>Competitive, industry-leading advance rates</li>
	<li>Dedicated customer service representatives fluent in 25 languages</li>
	<li>Scalable, debt-free funding that can match your company’s growth</li>
</ul>
",,,,,English,,,,,,Technicolor Global Logistics is partnering with RTS Financial to provide new quick-pay solutions so companies like yours can turn invoices into cash in 24 hours. ,1,admin,1497979790,,/lp/technicolor-referral,1,1,0,,,,,Meg Williams,,Agent referral page for Technicolor
294,0,Landing Page,RTS Pro Factoring,RTS Pro Factoring,"<h2 class=""margin-top-0"">File Paperwork From Anywhere at Any Time</h2>

<p>RTS Pro is our exclusive web and mobile app that lets you create and upload invoices into your online factoring account. This easy-to-use technology helps you save time, reduce paperwork and, best of all, get paid faster.</p>

<h2>Capabilities of RTS Pro Factoring Include:</h2>

<ul>
	<li>Easy uploading of invoice documents</li>
	<li>Bulk importing of documents and spreadsheets</li>
	<li>Online access to your account history</li>
	<li>Uploading of invoice documents and images from your phone or tablet</li>
</ul>

<h2>Seven Reasons Why RTS Financial is a Better Factoring Experience</h2>

<ul>
	<li>Same-day funding</li>
	<li>Outstanding customer service since 1995</li>
	<li>Competitive advance rates</li>
	<li>Free collections and credit analysis</li>
	<li>Fuel card with credit lines and leading discounts</li>
	<li>Online account access and easy uploading of documents</li>
	<li>Scalable funding that grows with your company</li>
</ul>
",,,,,English,,,,,,Online software eliminates the need to provide original paperwork when factoring your receivables,1,admin,1499701743,,/lp/invoice-manager,1,1,0,,,,,,,
299,0,Landing Page,"Average Savings of 25¢ Per Gallon at 2,000+ Fuel Stations","Average Savings of 25¢ Per Gallon at 2,000+ Fuel Stations","<div class=""view view-fuel-features view-id-fuel_features view-display-id-default view-dom-id-b98d96db146bb390b5c6175b070dce38 contextual-links-region"">
      <div class=""contextual-links-wrapper""><ul class=""contextual-links""><li class=""views-ui-edit first last""><a href=""/admin/structure/views/view/fuel_features/edit/default?destination=exportlandingpage"">Edit view</a></li></ul></div>  
  
  
      <div class=""view-content"">
        <div class=""views-row views-row-1 views-row-odd views-row-first"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Save 25¢ per Gallon</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Save an average of 25¢ per gallon at over 2,000 fuel stations.</div>  </div>  </div>
  <div class=""views-row views-row-2 views-row-even"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">More Than 2,000 Fuel Stations</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Find discounts at thousands of fuel stations, including Pilot Flying J, Sapp Bros., Casey's and more.</div>  </div>  </div>
  <div class=""views-row views-row-3 views-row-odd"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">$2,500 Line of Credit</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Get as much as $2,500 per truck, per week.</div>  </div>  </div>
  <div class=""views-row views-row-4 views-row-even"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">RTS Pro Mobile App</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Use our mobile app to find the lowest fuel prices along your route.</div>  </div>  </div>
  <div class=""views-row views-row-5 views-row-odd"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Pilot Flying J Discounts</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Get point-of-sale fuel discounts at more than 750 Pilot Flying J locations nationwide</div>  </div>  </div>
  <div class=""views-row views-row-6 views-row-even views-row-last"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">No Annual Fees</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">There is no contract and you are not charged yearly card fees.</div>  </div>  </div>
    </div>
  
  
  
  
  
  
</div>",,,,,English,,,,,,"Join 40,000+ carriers in the fastest growing fuel card program in the trucking industry. Contact us today.",1,admin,1500483359,,/lp/fuel-card,1,1,0,,,,,,,
301,0,Landing Page,Thank You For Your Interest In Our Services,Thank You For Your Interest In Our Services,"<style>
<!--/*--><![CDATA[/* ><!--*/

body {  min-height: 100vh; }

/*--><!]]>*/
</style>

<p class=""subheading1 margin-bottom-40"">A representative will contact you soon to answer your questions about our apps and services.</p>

<h2>Insights from RTS</h2>

Check out these popular articles from our blog:

<ul>
<li><a href=""/articles/what-expect-dot-brake-inspection"">What to Expect with a DOT Brake Inspection</a></li>
<li><a href=""/articles/what-are-driver-qualification-files"">What Are Driver Qualification Files?</a></li>
<li><a href=""/articles/5-things-watch-out-when-choosing-factoring-company"">5 Things to Watch Out For When Choosing a Factoring Company</a></li>
<li><a href=""/guides/difference-between-recourse-and-non-recourse-factoring"">The Difference Between Recourse and Non-Recourse Factoring</a></li>
<li><a href=""/articles/how-find-right-dispatch-software-your-trucking-company"">How to Find The Right Dispatch Software</a></li>
</ul>


<!--
<div class=""btn blue-solid margin-bottom-20"">
  <a id=""dsInternetAppLink"" href=""https://na3.docusign.net/Member/PowerFormSigning.aspx?PowerFormId=e43507f5-3e8a-4342-8be5-f04458f21f2a&env=na3-eu1&v=2"">Start your factoring application</a></p>
</div>

<img style=""width: 150px;"" class=""margin-bottom-30"" src=""/sites/default/files/docuSign-logo.png"">

<p class=""subheading1 margin-top-0"">Once you have completed the factoring application, we can provide specific details about your eligibility, advance rate, factoring rate and more.</p>
-->",,,,,English,,,,,,,1,admin,1500670819,,/lp/factoring-thank-you-app,1,1,0,,,,,,,
304,0,Landing Page,Turn Invoices into Same-Day Capital with Factoring,Turn Invoices into Same-Day Capital with Factoring,"<p class=""first"">Waiting 30, 60 and sometimes 90 days for customer payments can put a great deal of stress on your cash flow. By factoring with RTS Financial, you can build up more working capital to pay vendors, meet customer demands and grow your company.</p>

<h2 class=""subheading-left"">Highlights of Our Factoring Services</h2>
<p>By focusing on our clients and their business needs, we have created a better factoring experience. Here is what you can expect when you work with RTS Financial:</p>

<ul class=""super-list"">
<li>Same-day funding</li>
<li>25+ years of factoring experience</li>
<li>Competitive advance rates</li>
<li>Free collections and credit analysis</li>
<li>Fuel card with credit lines and leading discounts</li>
<li>Online account access and easy uploading of documents</li>
<li>Scalable funding that grows with your company</li>
</ul>
",,,,,English,,,,,,Stop waiting weeks for customer payments. Get cash on your receivables within 24 hours by factoring with RTS Financial.,1,admin,1501517709,,/lp/factoring-email-wj,1,1,0,,,,,,,For email marketing via BlueConic
305,0,Landing Page,Online Factoring Application,Online Factoring Application,"<style>
<!--/*--><![CDATA[/* ><!--*/

body {  min-height: 100vh; }

/*--><!]]>*/
</style>

<p class=""lg-sans"">To pre-qualify, please complete our online application.</p>

<p class=""lg-sans"">Once you have completed the factoring application, we can provide specific details about your eligibility, advance rate, factoring rate and more.</p>

<div class=""btn blue-solid margin-bottom-40"">
  <a href=""https://na3.docusign.net/Member/PowerFormSigning.aspx?PowerFormId=9667158e-196c-49d5-ab10-bc9adbacece3"">Start your factoring application</a>
</div>

<img style=""width: 200px;"" class=""margin-bottom-30"" src=""/sites/default/files/docuSign-logo.png"" />

",,,,,English,,,,,,Quickly find out how much funding you qualify for by completing the factoring application below,1,admin,1502115637,,/lp/factoring-application-internet,1,1,0,,,,,,,
310,0,Landing Page,Truckers Love Our Factoring Services,Truckers Love Our Factoring Services,"<p class=""first"">Waiting 30, 60 and sometimes 90 days for customer payments can put a great deal of stress on your cash flow. By factoring with RTS Financial, you can build up more working capital to pay vendors, meet customer demands and grow your company.</p>

<h2 class=""subheading-left"">Highlights of Our Factoring Services</h2>

<ul class=""super-list"">
	<li>Same-day funding</li>
	<li>25+ years of factoring experience</li>
	<li>Industry-leading, competitive advance rates</li>
	<li>Fuel card with credit lines and leading discounts</li>
	<li>Use factoring funds to pay for fuel</li>
	<li>Upload invoices from your smartphone with RTS Pro, our easy-to-use mobile app</li>
	<li>Scalable funding that grows with your company</li>
</ul>
",,,,,English,,,,,,"Better rates, same-day funding and competitive advance rates. Use your factoring funds to pay for fuel. ",1,admin,1502481101,,/lp/truckers-love-our-factoring,1,1,0,,,,,,,
319,0,Landing Page,Thank You For Your Interest in The Complete Guide To Factoring,Thank You For Your Interest in The Complete Guide To Factoring,"<p class=""lg-sans"">This free guide from RTS Financial provides an in-depth review of how factoring works, what you should look for in a factoring company, and how factoring can help you improve and expand your business.</p>

<div class=""btn blue-solid margin-bottom-40"">
  <a id=""factoringGuideDownloadLink"" href=""http://www.rtsfinancial.com/sites/default/files/Your%20Complete%20Guide%20to%20Factoring%20web.pdf"">Click Here to Download This PDF</a>
</div>

<p class=""lg-sans"">Call 855-230-9364 to talk with a representative about our factoring services.</p>",,,,,English,,,,,,,1,admin,1503685984,,/lp/factoring-guide-download-link,1,1,0,,,,,,,
